,label,darker,gradient,reddish,metallic,colorful,black,black_thin,dominating_color,color_bin_1,color_bin_2,color_bin_3,color_bin_4,color_bin_5,color_bin_6,color_bin_7,color_bin_8,color_bin_9,color_entropy,rough,dominating_texture,texture_0,texture_1,texture_2,texture_3,texture_4,texture_5,texture_6,texture_7,texture_8,texture_9,rough_entropy,lengthy,number_lengthy_objects,lengthy_aspect_ratio,rel_length,circle,in_shape,roundness
0,Crack,0.00033757173399347364,1.0165234022028364,0.0012377630246427367,0.22392258354900416,0.003263193428603578,0.0,0.0,7,0.015528299763699786,0.0074265781478564195,0.001687858669967368,0.0005626195566557894,0.0022504782266231575,0.09091932035557555,0.43040396084167887,0.29053673905704963,0.16068414538089343,1.967163332733148,0.0,9,0.11027343310453472,0.0980083267694385,0.048272757961066726,0.053111286148306514,0.07246539889726566,0.06335096207944188,0.07212782716327219,0.11286148306515134,0.1100483852818724,0.25948013952965004,3.1259618513296523,0.016541014965680206,1,3.8723403759665236,0.04687013018733452,0,0.06672667941937661,0.0
1,Crack,0.0,1.0055674931988268,0.0,0.05435413642960813,0.0,0.0,0.0,9,0.03425253991291727,0.005370101596516691,0.00029027576197387516,0.00014513788098693758,0.0,0.019521044992743104,0.11146589259796807,0.25805515239477506,0.570899854862119,1.6421532803899996,0.0,9,0.10072568940493469,0.09586357039187228,0.054499274310595064,0.057039187227866474,0.07264150943396226,0.07082728592162554,0.07822931785195936,0.10522496371552975,0.10391872278664732,0.26103047895500725,3.1422800039564374,0.0,0,1.0,0.0,0,0.0,0.0
2,Crack,0.0,0.9828835101050146,0.0,0.0002501876407305479,0.0,0.0,0.0,9,0.010007505629221916,0.0,0.0,0.0,0.0,0.0,0.005253940455341506,0.017513134851138354,0.9672254190642983,0.2549591963925175,0.0,9,0.10032524393294971,0.09832374280710533,0.05629221916437328,0.05729296972729547,0.0595446584938704,0.06504878658994245,0.08431323492619465,0.10157618213660245,0.11208406304728546,0.2651988991743808,3.1283161463662448,0.0,0,1.0,0.0,0,0.0,0.0
3,Crack,0.0,0.9915705050285544,0.0,0.0,0.0,0.0,0.0,9,0.003286770747740345,0.0,0.0,0.0005477951246233908,0.0,0.0,0.014790468364831553,0.08792111750205424,0.8934538482607505,0.5765754603902646,0.0,9,0.11613256642015886,0.10408107367844426,0.04546699534374144,0.032593809915091754,0.044097507532182965,0.05505341002465078,0.07450013694878116,0.1073678444261846,0.1251711859764448,0.2955354697343194,3.012839186271485,0.0,0,1.0,0.030118573791663054,0,0.024376883045740892,0.0
4,Crack,0.0,0.991633579126489,0.0,0.0,0.0,0.0,0.0,9,0.1620795107033639,0.0045871559633027525,0.0,0.0,0.0,0.0,0.012232415902140673,0.0581039755351682,0.7629969418960245,1.0751333578222233,0.0,9,0.12232415902140673,0.11773700305810397,0.05045871559633028,0.03058103975535168,0.04281345565749235,0.045871559633027525,0.05963302752293578,0.11162079510703364,0.10550458715596331,0.31345565749235477,2.966629207765483,0.0,0,1.0,0.22302368457573718,0,0.19724770642201836,0.8172403101604341
5,Crack,0.0,1.010954426614161,0.0,0.008146639511201629,0.0,0.0,0.0,9,0.12219959266802444,0.032586558044806514,0.002036659877800407,0.0,0.0,0.0,0.07128309572301425,0.09674134419551934,0.675152749490835,1.5299840001545548,0.0,9,0.1425661914460285,0.10386965376782077,0.025458248472505093,0.026476578411405296,0.03054989816700611,0.048879837067209775,0.03767820773930754,0.12219959266802444,0.12525458248472504,0.33706720977596744,2.833180818812143,0.0050916496945010185,0,1.0,0.0,0,0.013238289205702648,0.0
6,Crack,0.0,0.9876015205581226,0.0002701972439881113,0.0002701972439881113,0.0,0.0,0.0,9,0.11672520940286409,0.00810591731964334,0.0002701972439881113,0.0008105917319643339,0.0,0.0,0.008376114563631451,0.08078897595244529,0.7849229937854634,1.0548109294058114,0.0,9,0.14401513104566332,0.11375303971899486,0.02891110510672791,0.029721696838692246,0.02918130235071602,0.04161037557416914,0.04755471494190759,0.11537422318292354,0.1259119156984599,0.32396649554174545,2.8692091487045546,0.0,0,1.0,0.0634835675191123,0,0.02891110510672791,0.0
7,Crack,0.0,0.9932833501732651,0.0,0.017341040462427744,0.0,0.0,0.0,9,0.033856317093311314,0.0,0.0,0.0,0.0,0.0,0.03137902559867878,0.18827415359207267,0.7464905037159373,1.090520240567088,0.0,9,0.12303881090008258,0.11643270024772914,0.042939719240297276,0.04046242774566474,0.04541701073492981,0.03963666391412056,0.06523534269199009,0.10569777043765483,0.12056151940545004,0.30057803468208094,2.9913805105899978,0.0,0,1.0,0.0,0,0.0,0.0
8,Crack,0.0,0.9704938572406745,0.0,0.0,0.0,0.0,0.0,9,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.017006802721088437,0.9651360544217688,0.25307527974414834,0.0,9,0.11819727891156463,0.09013605442176871,0.061224489795918366,0.06207482993197279,0.070578231292517,0.06547619047619048,0.05187074829931973,0.10119047619047619,0.11054421768707483,0.2687074829931973,3.1166656865265847,0.0,0,1.0,0.0,0,0.0,0.0
9,Crack,0.0,0.9346473907454024,0.0,0.0012853470437017994,0.007712082262210797,0.0,0.0,9,0.19408740359897173,0.002570694087403599,0.0,0.0,0.0,0.0,0.006426735218508998,0.13496143958868895,0.6619537275064268,1.3119229056111075,0.0,9,0.10539845758354756,0.08868894601542417,0.042416452442159386,0.05784061696658098,0.06812339331619537,0.08483290488431877,0.07840616966580977,0.11825192802056556,0.09640102827763496,0.2596401028277635,3.131931689470532,0.0,0,1.0,0.27550435693502323,0,0.16195372750642673,0.8447057736669987
10,Crack,0.0,1.0137159127555315,0.0,0.0,0.0,0.0,0.0,1,0.652014652014652,0.0014652014652014652,0.0,0.0014652014652014652,0.0,0.0,0.0,0.0,0.34505494505494505,0.9595918522339786,0.0,9,0.11575091575091576,0.0989010989010989,0.04542124542124542,0.03076923076923077,0.06813186813186813,0.07472527472527472,0.08205128205128205,0.10256410256410256,0.1054945054945055,0.2761904761904762,3.0789699948684564,0.04981684981684982,0,1.0,0.0,0,0.04322344322344322,0.0
11,Crack,0.0,0.9707420697498004,0.0,0.05886475122634898,0.000700770847932726,0.0,0.0,9,0.0189208128941836,0.007708479327259986,0.0,0.0,0.0,0.035739313244569026,0.1156271899088998,0.28381219341275404,0.5381920112123336,1.6907921154070653,0.0,9,0.08479327259985985,0.09250175192711983,0.06517168885774352,0.06587245970567625,0.08759635599159075,0.09810791871058164,0.10932025227750526,0.08199018920812894,0.09110021023125438,0.2235459004905396,3.2141192251311215,0.0,0,1.0,0.148151572586325,0,0.14085494043447794,0.0
12,Crack,0.009968125181106926,0.9870702499513546,0.05586786438713416,0.06977687626774848,0.007534048101999421,0.0006374963778614895,0.1209504491451753,1,0.445841784989858,0.2352361634308896,0.0023761228629382786,0.006548826427122573,0.0015647638365691105,0.022660098522167486,0.15189800057954217,0.06838597507968705,0.06548826427122573,2.15251485726828,0.21095334685598377,9,0.0676325702694871,0.07603593161402492,0.06415531729933352,0.09545059403071574,0.16180817154447985,0.1037380469429151,0.06751666183714865,0.08142567371776296,0.08554042306577804,0.1966966096783541,3.209503479034223,0.6613155607070414,1,11.581777572186958,0.5913993608851273,0,0.6408577223993045,0.22615196114589678
13,Rust,0.6089045936395759,0.8880493013755755,0.7321554770318022,0.0022614840989399294,0.76113074204947,0.001978798586572438,0.12593639575971732,1,0.7249469964664311,0.27505300353356893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8486222961894049,0.0,9,0.08692579505300353,0.08056537102473499,0.07053003533568905,0.08183745583038869,0.08819787985865725,0.07491166077738516,0.07660777385159011,0.09653710247349823,0.1075618374558304,0.2363250883392226,3.2008275216612607,0.0,0,1.0,0.0,0,0.04325088339222615,0.0
14,Wetspot,0.6265052668627599,0.9776986931826084,0.05992575273818203,0.0107474168489328,0.21418575223537892,0.16211629836337582,0.036738148511283736,2,0.31888193344562604,0.5859877148435864,0.013906696499652227,0.000758394717215141,0.00036034224132874105,0.00656577083909462,0.024746293921948194,0.01590114890514619,0.032891704586402525,1.5120997034902635,0.033231096697421456,9,0.06727086842480161,0.07553359981899087,0.0709203811247706,0.09114982695192364,0.11611819225515582,0.10260535820532804,0.08586201406172747,0.08990119918545893,0.09743905607092876,0.20319950390091426,3.237965602190471,0.06442165070266737,4,4.277843249831159,0.08925466360443174,0,0.06127494113013383,0.0
15,Drainage,1.0,0.8553305914279903,0.42638241172551633,0.0,0.2598267821452365,0.46568954030646237,0.06862091938707526,1,0.7348434377081945,0.12191872085276483,0.0033311125916055963,0.001998667554963358,0.0,0.0006662225183211193,0.005329780146568954,0.02531645569620253,0.10659560293137908,1.2679455877681174,0.0,9,0.08594270486342438,0.0966022651565623,0.047968021319120584,0.05463024650233178,0.10459693537641572,0.06728847435043304,0.056628914057295136,0.11925383077948035,0.10926049300466356,0.25782811459027316,3.125599644761614,0.0,0,1.0,0.0,1,0.8361092604930047,0.8057618487668605
