label,darker,gradient,reddish,metallic,colorful,black,black_thin,dominating_color,color_bin_1,color_bin_2,color_bin_3,color_bin_4,color_bin_5,color_bin_6,color_bin_7,color_bin_8,color_bin_9,color_entropy,rough,dominating_texture,texture_0,texture_1,texture_2,texture_3,texture_4,texture_5,texture_6,texture_7,texture_8,texture_9,rough_entropy,lengthy,number_lengthy_objects,lengthy_aspect_ratio,rel_length,circle,in_shape,roundness
Graffiti,0.2261456060305495,0.989030139322607,5.5360001476266705e-05,0.40435406411610836,0.11364485636386283,0.10375848276689287,0.28178240751419753,6,0.008566960228452273,0.009688000258346674,0.005042373467796625,0.010818266955153786,0.03464152092377389,0.8159049284241314,0.1101294962701199,0.003995146773203914,0.001213306699021512,1.0344124431430703,0.7338614062363041,4,0.03572565428601745,0.048352347956062615,0.06304120168109871,0.13941493705106497,0.2540793401087824,0.15667341751129113,0.07712570872335223,0.057583628202230085,0.0515401613744043,0.11646360310569609,3.0559324626482254,0.33538934227704914,8,4.432367524360779,0.4273980181387001,1,0.49297619981269863,0.742078729801539
Graffiti,0.05650427193086944,0.9307343028021688,0.0,0.506524305066759,0.08453983345425406,0.023639100349767725,0.14672918448893846,6,0.002577235860396115,0.07773939597388112,0.05199952353622749,0.024657000227403164,0.05852924296403782,0.7262715626928866,0.055345598665901434,0.0017001093700932353,0.0011803307091730105,1.4951472385193987,0.42923971542118317,4,0.04055356427388004,0.051804606538382404,0.06330470941124237,0.13130908421497178,0.23439851863081637,0.14652343876899088,0.08476723661840666,0.06331553813334488,0.05568128905107908,0.1283420143588855,3.1080155641952394,0.22236780837493367,8,8.855329987573521,0.4658353956524756,0,0.22555145267307006,0.0
Graffiti,0.1849926124764558,0.974534542473339,0.20619085751666422,0.35515237472226296,0.28697568320494454,0.006451394606543879,0.0011137678625807836,1,0.2904001669241961,0.06705869415652527,0.10572194714819035,0.1084584324915692,0.05319298918376324,0.24339352379233728,0.06101897070931505,0.015434848809537237,0.05532042678456628,2.7611905727113877,0.090264541014854,4,0.034824278447604974,0.05110643673234608,0.06761698792055311,0.1313174604964867,0.22490638710623373,0.16084217768403958,0.087607006304772,0.06400640627995895,0.059734613085503534,0.11803824594250138,3.1117928541110107,0.030866877953599586,16,7.137552139181493,0.20274982281399628,1,0.12886858103154641,0.0
Drainage,1.0,0.6302430839542376,0.001441899915182358,0.004071246819338422,0.015606446140797287,0.8683630195080577,-0.7367260390161154,6,0.026208651399491092,0.0542832909245123,0.011959287531806615,0.01272264631043257,0.0357930449533503,0.6324851569126378,0.21738761662425785,0.004580152671755725,0.004580152671755725,1.662098955520377,0.017472434266327396,4,0.021034775233248516,0.04130619168787108,0.03206106870229008,0.08396946564885496,0.32179813401187446,0.15470737913486005,0.07438507209499576,0.07345207803223071,0.0818490245971162,0.11543681085665819,2.919907438406832,0.0,0,1.0,0.0,0,0.8658184902459711,0.7568474424092775
Drainage,1.0,0.8731108483576799,0.0,0.0016040329972502293,0.02257103574702108,0.538038496791934,-0.17300641613198903,6,0.022685609532538956,0.0553391384051329,0.03357011915673694,0.0843263061411549,0.14608157653528872,0.5282997250229148,0.11984417965169569,0.0026351970669110905,0.007218148487626031,2.1527107390084086,0.22983501374885426,4,0.021310724106324473,0.03666361136571952,0.05041246562786435,0.12706232813932172,0.3234417965169569,0.1544454628780935,0.07412923923006416,0.05785976168652612,0.057516040329972505,0.09715857011915674,2.911463389387119,0.0,0,1.0,0.0,0,0.8772914757103575,0.7800455032739833
Drainage,0.8115942028985508,0.9794823841192898,0.0,0.11594202898550725,0.08695652173913043,0.033816425120772944,0.8550724637681159,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.014492753623188406,0.033816425120772944,0.12077294685990338,0.3140096618357488,0.24154589371980675,0.1111111111111111,0.08695652173913043,0.043478260869565216,0.033816425120772944,2.6624199115129605,1.0,0,1.0,0.0,0,0.9516908212560387,0.6566719456796397
Drainage,0.8309178743961353,0.8656575212866603,0.0,0.08695652173913043,0.004830917874396135,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.46859903381642515,0.5314009661835749,0.0,0.0,0.9971530725724462,0.0,4,0.014492753623188406,0.014492753623188406,0.00966183574879227,0.07246376811594203,0.34782608695652173,0.25120772946859904,0.07729468599033816,0.05314009661835749,0.06763285024154589,0.09178743961352658,2.6362988470892628,0.9806763285024155,0,1.0,0.0,0,0.966183574879227,0.6566719456796397
Drainage,1.0,0.9530249997168133,0.0,0.029197080291970802,0.0,0.35766423357664234,0.2846715328467153,6,0.0,0.0,0.0,0.014598540145985401,0.0948905109489051,0.6861313868613139,0.20437956204379562,0.0,0.0,1.2524626945580082,0.0,4,0.0036496350364963502,0.014598540145985401,0.025547445255474453,0.10218978102189781,0.39416058394160586,0.15693430656934307,0.12408759124087591,0.072992700729927,0.06204379562043796,0.043795620437956206,2.6344066312523906,0.0,0,1.0,0.0,0,0.9708029197080292,0.6630961599600044
Drainage,0.9965986394557823,0.9525528056130581,0.0,0.05102040816326531,0.0,0.40476190476190477,0.19047619047619047,6,0.0,0.0,0.03741496598639456,0.003401360544217687,0.05782312925170068,0.7108843537414966,0.19047619047619047,0.0,0.0,1.248684078352023,0.0,4,0.006802721088435374,0.013605442176870748,0.003401360544217687,0.1054421768707483,0.3673469387755102,0.22108843537414966,0.06462585034013606,0.06462585034013606,0.061224489795918366,0.09183673469387756,2.589387644844089,0.0,0,1.0,0.0,0,0.9591836734693877,0.6630961599600044
Wetspot,0.5923939541686982,0.9229397933717874,0.0,0.17893710385177963,0.0,0.0,0.025841053144807412,6,0.008532423208191127,0.11921014139444173,0.1704046806435885,0.14139444173573867,0.10555826426133594,0.363481228668942,0.09141882008776207,0.0,0.0,2.4471481635518146,0.0,4,0.0363237445148708,0.05314480741101901,0.08044856167723062,0.1355436372501219,0.18600682593856654,0.12896148220380302,0.09873232569478303,0.07996099463676255,0.0697220867869332,0.1311555338859093,3.187955268723841,0.0012189176011701609,0,1.0,0.0,0,0.018283764017552412,0.0
